,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
0,t,moderate,t,1,Western Addition,94117.0,37.76931037734077,-122.43385634489,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,172,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
1,f,strict_14_with_grace_period,f,2,Bernal Heights,94110.0,37.745112331410034,-122.42101788836888,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,30,112,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0
2,f,strict_14_with_grace_period,f,10,Haight Ashbury,94117.0,37.766689597862175,-122.45250461761627,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,32,17,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0
3,f,strict_14_with_grace_period,f,10,Haight Ashbury,94117.0,37.76487219421756,-122.45182799146507,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,32,8,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0
4,f,strict_14_with_grace_period,f,2,Western Addition,94117.0,37.775248585892676,-122.43637374831293,House,Entire home/apt,5,1.5,2.0,2.0,Real Bed,7,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,785.0
5,f,moderate,f,1,Western Addition,94115.0,37.784707454960724,-122.44555431261593,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,31,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0
6,t,strict_14_with_grace_period,f,2,Mission,94110.0,37.75918889708064,-122.42236687240562,Condominium,Private room,3,1.0,1.0,2.0,Real Bed,1,631,98.0,10.0,10.0,10.0,10.0,10.0,9.0,139.0
7,f,strict_14_with_grace_period,f,1,Potrero Hill,94107.0,37.76258885144137,-122.40543055237005,House,Private room,2,1.0,1.0,1.0,Real Bed,1,434,94.0,9.0,9.0,10.0,10.0,10.0,9.0,135.0
8,t,moderate,f,1,Mission,94110.0,37.75874294929672,-122.4132720164374,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,3,307,96.0,10.0,10.0,10.0,9.0,9.0,9.0,265.0
9,f,moderate,f,1,Nob Hill,94109.0,37.791427463689935,-122.4154356795158,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,30,18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
10,f,strict_14_with_grace_period,f,47,Marina,94111.0,37.80060135801387,-122.425045381335,Apartment,Entire home/apt,4,2.0,3.0,3.0,Real Bed,30,22,88.0,9.0,9.0,9.0,8.0,9.0,8.0,218.0
